"","Province.State","Date","Case"
"157","Michigan",2020-01-31,0
"158","Michigan",2020-02-29,0
"159","Michigan",2020-03-31,7951
"160","Michigan",2020-04-30,43478
"161","Michigan",2020-05-31,62711
"162","Michigan",2020-06-30,70728
"163","Minnesota",2020-01-31,0
"164","Minnesota",2020-02-29,0
"165","Minnesota",2020-03-31,629
"166","Minnesota",2020-04-30,5136
"167","Minnesota",2020-05-31,24850
"168","Minnesota",2020-06-30,36303
"169","Mississippi",2020-01-31,0
"170","Mississippi",2020-02-29,0
"171","Mississippi",2020-03-31,937
"172","Mississippi",2020-04-30,6815
"173","Mississippi",2020-05-31,15523
"174","Mississippi",2020-06-30,27247
"175","Missouri",2020-01-31,0
"176","Missouri",2020-02-29,0
"177","Missouri",2020-03-31,1550
"178","Missouri",2020-04-30,7956
"179","Missouri",2020-05-31,13573
"180","Missouri",2020-06-30,21812
"181","Montana",2020-01-31,0
"182","Montana",2020-02-29,0
"183","Montana",2020-03-31,198
"184","Montana",2020-04-30,453
"185","Montana",2020-05-31,515
"186","Montana",2020-06-30,967
"187","Nebraska",2020-01-31,0
"188","Nebraska",2020-02-29,0
"189","Nebraska",2020-03-31,172
"190","Nebraska",2020-04-30,4281
"191","Nebraska",2020-05-31,14101
"192","Nebraska",2020-06-30,19177
"193","Nevada",2020-01-31,0
"194","Nevada",2020-02-29,0
"195","Nevada",2020-03-31,1114
"196","Nevada",2020-04-30,5053
"197","Nevada",2020-05-31,8628
"198","Nevada",2020-06-30,18456
"199","New Hampshire",2020-01-31,0
"200","New Hampshire",2020-02-29,0
"201","New Hampshire",2020-03-31,357
"202","New Hampshire",2020-04-30,2146
"203","New Hampshire",2020-05-31,4651
"204","New Hampshire",2020-06-30,5782
"205","New Jersey",2020-01-31,0
"206","New Jersey",2020-02-29,0
"207","New Jersey",2020-03-31,18696
"208","New Jersey",2020-04-30,118652
"209","New Jersey",2020-05-31,160445
"210","New Jersey",2020-06-30,171667
"211","New Mexico",2020-01-31,0
"212","New Mexico",2020-02-29,0
"213","New Mexico",2020-03-31,315
"214","New Mexico",2020-04-30,3411
"215","New Mexico",2020-05-31,7689
"216","New Mexico",2020-06-30,12147
"217","New York",2020-01-31,0
"218","New York",2020-02-29,0
"219","New York",2020-03-31,75833
"220","New York",2020-04-30,304372
"221","New York",2020-05-31,370770
"222","New York",2020-06-30,393454
"223","North Carolina",2020-01-31,0
"224","North Carolina",2020-02-29,0
"225","North Carolina",2020-03-31,1535
"226","North Carolina",2020-04-30,10754
"227","North Carolina",2020-05-31,28785
"228","North Carolina",2020-06-30,65327
"229","North Dakota",2020-01-31,0
"230","North Dakota",2020-02-29,0
"231","North Dakota",2020-03-31,122
"232","North Dakota",2020-04-30,1067
"233","North Dakota",2020-05-31,2577
"234","North Dakota",2020-06-30,3576
"235","Northern Mariana Islands",2020-01-31,0
"236","Northern Mariana Islands",2020-02-29,0
"237","Northern Mariana Islands",2020-03-31,2
"238","Northern Mariana Islands",2020-04-30,14
"239","Northern Mariana Islands",2020-05-31,22
"240","Northern Mariana Islands",2020-06-30,30
"241","Ohio",2020-01-31,0
"242","Ohio",2020-02-29,0
"243","Ohio",2020-03-31,2199
"244","Ohio",2020-04-30,18027
"245","Ohio",2020-05-31,35513
"246","Ohio",2020-06-30,51789
"247","Oklahoma",2020-01-31,0
"248","Oklahoma",2020-02-29,0
"249","Oklahoma",2020-03-31,568
"250","Oklahoma",2020-04-30,3618
"251","Oklahoma",2020-05-31,6418
"252","Oklahoma",2020-06-30,13757
"253","Oregon",2020-01-31,0
"254","Oregon",2020-02-29,1
"255","Oregon",2020-03-31,690
"256","Oregon",2020-04-30,2510
"257","Oregon",2020-05-31,4243
"258","Oregon",2020-06-30,8656
"259","Pennsylvania",2020-01-31,0
"260","Pennsylvania",2020-02-29,0
"261","Pennsylvania",2020-03-31,4963
"262","Pennsylvania",2020-04-30,47971
"263","Pennsylvania",2020-05-31,76129
"264","Pennsylvania",2020-06-30,91139
"265","Puerto Rico",2020-01-31,0
"266","Puerto Rico",2020-02-29,0
"267","Puerto Rico",2020-03-31,239
"268","Puerto Rico",2020-04-30,1539
"269","Puerto Rico",2020-05-31,3776
