"","Province.State","Month","Death","Case","Initial","First","Benefits"
"98","Grand Princess","7",69,103,NA,NA,NA
"99","Guam","1",0,0,NA,NA,NA
"100","Guam","2",0,0,NA,NA,NA
"101","Guam","3",11,69,NA,NA,NA
"102","Guam","4",138,145,NA,NA,NA
"103","Guam","5",155,172,NA,NA,NA
"104","Guam","6",150,257,NA,NA,NA
"105","Guam","7",115,337,NA,NA,NA
"106","Hawaii","1",0,0,"5,898","2,245","14,009,030"
"107","Hawaii","2",0,0,"4,420","1,457","11,701,207"
"108","Hawaii","3",1,204,"83,622","3,417","15,347,485"
"109","Hawaii","4",268,618,"123,958","57,892","102,776,787"
"110","Hawaii","5",525,652,"45,484","63,579","263,095,774"
"111","Hawaii","6",514,917,NA,NA,NA
"112","Hawaii","7",484,1490,NA,NA,NA
"113","Idaho","1",0,0,"7,538","4,840","12,168,166"
"114","Idaho","2",0,0,"4,314","2,775","11,995,382"
"115","Idaho","3",29,515,"62,296","11,457","15,004,063"
"116","Idaho","4",1047,1984,"60,180","34,357","48,596,669"
"117","Idaho","5",2258,2839,"21,133","13,969","51,800,727"
"118","Idaho","6",2610,6117,NA,NA,NA
"119","Idaho","7",2460,16737,NA,NA,NA
"120","Illinois","1",0,2,"55,133","48,856","203,262,847"
"121","Illinois","2",0,2,"39,916","26,143","195,257,947"
"122","Illinois","3",418,5994,"433,235","48,850","249,840,281"
"123","Illinois","4",32422,52918,"519,269","437,295","704,812,932"
"124","Illinois","5",124526,120260,"271,710","219,574","885,703,295"
"125","Illinois","6",189925,143185,NA,NA,NA
"126","Illinois","7",168255,168096,NA,NA,NA
"127","Indiana","1",0,0,"16,945","10,424","26,475,501"
"128","Indiana","2",0,0,"11,332","7,529","27,483,490"
"129","Indiana","3",242,2158,"280,444","23,744","38,368,642"
"130","Indiana","4",14251,17835,"349,939","262,912","286,230,600"
"131","Indiana","5",52288,34574,"123,244","118,127","363,303,243"
"132","Indiana","6",73070,45594,NA,NA,NA
"133","Indiana","7",63499,59602,NA,NA,NA
"134","Iowa","1",0,0,"17,461","18,970","63,087,185"
"135","Iowa","2",0,0,"9,747","7,935","51,507,094"
"136","Iowa","3",25,497,"126,040","15,846","48,848,277"
"137","Iowa","4",1949,7145,"157,324","135,641","213,451,863"
"138","Iowa","5",10727,19552,"53,242","54,312","219,043,360"
"139","Iowa","6",19558,29074,NA,NA,NA
"140","Iowa","7",17449,40796,NA,NA,NA
"141","Kansas","1",0,0,"10,128","4,492","14,287,921"
"142","Kansas","2",0,0,"6,836","3,338","15,148,629"
"143","Kansas","3",54,434,"103,119","17,560","22,658,227"
"144","Kansas","4",2224,4413,"120,681","88,537","126,408,084"
"145","Kansas","5",5819,9700,"47,905","88,537","139,286,355"
"146","Kansas","6",7423,14370,NA,NA,NA
"147","Kansas","7",6847,23956,NA,NA,NA
"148","Kentucky","1",0,0,"14,700","7,319","33,370,778"
"149","Kentucky","2",0,0,"10,138","4,627","32,004,993"
"150","Kentucky","3",78,628,"215,419","17,875","44,292,633"
"151","Kentucky","4",3809,4708,"417,539","208,678","306,955,618"
"152","Kentucky","5",10568,9704,"260,797","66,741","317,705,362"
"153","Kentucky","6",15173,15624,NA,NA,NA
"154","Kentucky","7",14450,25147,NA,NA,NA
"155","Louisiana","1",0,0,"9,085","3,488","9,859,509"
"156","Louisiana","2",0,0,"7,017","2,765","9,127,127"
"157","Louisiana","3",1140,5237,"219,100","46,968","22,215,850"
"158","Louisiana","4",32812,28001,"330,370","221,108","175,606,961"
"159","Louisiana","5",75789,39916,"124,310","73,745","206,277,488"
"160","Louisiana","6",91075,58095,NA,NA,NA
"161","Louisiana","7",78312,101650,NA,NA,NA
"162","Maine","1",0,0,"5,369","3,593","10,598,036"
"163","Maine","2",0,0,"3,070","2,190","11,261,830"
"164","Maine","3",13,303,"61,014","17,850","22,966,053"
"165","Maine","4",838,1095,"46,687","48,098","86,870,602"
"166","Maine","5",2180,2325,"43,670","26,954","130,809,248"
"167","Maine","6",3010,3253,NA,NA,NA
"168","Maine","7",2584,3737,NA,NA,NA
"169","Maryland","1",0,0,"16,103","9,674","39,201,549"
"170","Maryland","2",0,0,"11,031","5,848","36,999,215"
"171","Maryland","3",76,1660,"189,982","20,635","51,412,721"
"172","Maryland","4",13152,21742,"267,768","143,915","224,250,704"
"173","Maryland","5",59126,52778,"149,392","49,175","293,545,863"
"174","Maryland","6",88044,67559,NA,NA,NA
"175","Maryland","7",76175,80836,NA,NA,NA
"176","Massachusetts","1",0,0,"30,077","24,606","153,772,334"
"177","Massachusetts","2",0,1,"24,418","17,153","149,894,988"
"178","Massachusetts","3",339,6620,"408,645","70,296","214,894,226"
"179","Massachusetts","4",42284,63211,"353,459","383,921","909,261,601"
"180","Massachusetts","5",170827,100468,"162,457","155,950","966,147,387"
"181","Massachusetts","6",228988,108882,NA,NA,NA
"182","Massachusetts","7",191075,114647,NA,NA,NA
"183","Michigan","1",0,0,"54,329","45,059","105,387,584"
"184","Michigan","2",0,0,"23,589","18,348","92,148,951"
"185","Michigan","3",1101,7951,"656,570","28,890","130,314,810"
"186","Michigan","4",63025,43478,"684,799","588,342","882,611,331"
"187","Michigan","5",156071,62711,"224,712","285,260","1,156,963,162"
"188","Michigan","6",180450,70728,NA,NA,NA
"189","Michigan","7",144926,84431,NA,NA,NA
"190","Minnesota","1",0,0,"20,490","21,128","112,770,538"
"191","Minnesota","2",0,0,"14,774","10,807","107,804,542"
"192","Minnesota","3",47,629,"282,933","6,462","171,947,134"
"193","Minnesota","4",3811,5136,"272,310","3,186","542,283,199"
"194","Minnesota","5",21874,24850,"125,273","988","552,288,116"
"195","Minnesota","6",39472,36303,NA,NA,NA
"196","Minnesota","7",35489,48721,NA,NA,NA
"197","Mississippi","1",0,0,"5,119","2,167","5,105,134"
"198","Mississippi","2",0,0,"3,460","1,544","4,575,876"
"199","Mississippi","3",86,937,"60,907","13,374","7,990,137"
"200","Mississippi","4",3973,6815,"157,712","91,489","72,609,861"
"201","Mississippi","5",15802,15523,"103,087","60,675","145,555,947"
"202","Mississippi","6",27316,27247,NA,NA,NA
"203","Mississippi","7",28612,48053,NA,NA,NA
"204","Missouri","1",0,0,"28,576","11,540","25,322,389"
"205","Missouri","2",0,0,"11,623","7,865","23,615,089"
"206","Missouri","3",114,1550,"196,436","20,527","32,173,474"
"207","Missouri","4",6429,7956,"306,982","171,944","209,548,355"
"208","Missouri","5",20717,13573,"117,386","55,626","231,334,057"
"209","Missouri","6",27544,21812,NA,NA,NA
"210","Missouri","7",25242,38060,NA,NA,NA
"211","Montana","1",0,0,"5,154","3,964","12,613,971"
"212","Montana","2",0,0,"3,187","2,046","12,687,359"
"213","Montana","3",13,198,"44,005","1,678","17,511,864"
"214","Montana","4",280,453,"45,957","1,311","44,249,154"
"215","Montana","5",502,515,"14,828","629","46,952,310"
"216","Montana","6",581,967,NA,NA,NA
"217","Montana","7",703,2909,NA,NA,NA
"218","Nebraska","1",0,0,"4,097","3,272","8,245,833"
"219","Nebraska","2",0,0,"2,244","1,923","8,106,354"
"220","Nebraska","3",9,172,"52,974","3,939","8,871,941"
"221","Nebraska","4",822,4281,"54,881","21,400","39,050,931"
"222","Nebraska","5",3659,14101,"24,248","30,316","85,288,158"
"223","Nebraska","6",6704,19177,NA,NA,NA
"224","Nebraska","7",6714,23818,NA,NA,NA
"225","Nevada","1",0,0,"10,527","5,207","24,541,991"
"226","Nevada","2",0,0,"9,815","4,751","23,891,392"
"227","Nevada","3",110,1114,"208,869","63,192","61,027,404"
"228","Nevada","4",3933,5053,"207,147","171,822","289,677,261"
"229","Nevada","5",10599,8628,"74,469","75,542","497,384,019"
"230","Nevada","6",13999,18456,NA,NA,NA
"231","Nevada","7",13717,39919,NA,NA,NA
"232","New Hampshire","1",0,0,"2,452","1,535","4,280,903"
"233","New Hampshire","2",0,0,"2,036","953","3,956,431"
"234","New Hampshire","3",15,357,"80,054","13,813","9,973,652"
"235","New Hampshire","4",971,2146,"89,948","58,333","52,551,887"
"236","New Hampshire","5",5044,4651,"33,992","31,013","79,401,690"
